第120回 医師国家試験 B問題

1 患者中心型モデルに基づく面接に配慮した質問はどれか。
23 多剤併用療法による治療が必要な疾患はどれか。
a 結核
b 梅毒
c レジオネラ症
d インフルエンザ
e マイコプラズマ肺炎

24 医療面接における解釈モデルに該当するのはどれか。
a 症状の時系列を聴取する。
b 患者の病態を適切に推定する。
c 心理・社会的な情報を聞き取る。
d 診断名をわかりやすく患者に説明する。
e なぜこの症状が起こったと思うかを患者に聞く。

25 基礎代謝量に直接的に影響を与える因子で誤っているのはどれか。
a 性別
b 年齢
c 筋肉量
d 体表面積
e 体内の水分量

26 73歳の男性。胸痛、発熱および呼吸困難を主訴に来院した。3日前から咳、倦怠感、胸痛および発熱が出現した。今朝から胸痛が悪化し、呼吸困難も出現したため受診した。痛みは左側胸部から背部に自覚し、咳や深呼吸で増悪する。意識は清明。体温38.5℃。脈拍108/分、整。血圧132/68mmHg。呼吸数24/分。SpO2 92% (room air)。心音に異常を認めない。左下肺野の聴診で呼吸音は減弱し、打診で濁音を認める。腹部は平坦、軟で、肝・脾を触知しない。下肢に浮腫は認めない。心電図に異常を認めない。胸部エックス線写真(別冊No. 2)を別に示す。
最も考えられる疾患はどれか。
a 気胸
b 胸膜炎
c 肺塞栓症
d 急性心筋梗塞
e 急性大動脈解離

27 45歳の男性。「認知症にならないか心配だ」と言って来院した。仕事を含めて日常生活に支障はなく、周囲から間違いを指摘されることはない。喫煙歴はない。飲酒は機会飲酒。母親が45歳時に Alzheimer 型認知症を発症し、63歳で死亡したが、他の家族に同病発症者はいない。身長172cm、体重68kg。脈拍80/分、整。血圧168/104 mmHg。Mini-Mental State Examination (MMSE)は30点(30点満点)であった。他の神経診察で異常を認めない。尿所見:蛋白(-)、糖(-)。血液生化学所見:尿酸6.2mg/dL、空腹時血糖98mg/dL、トリグリセリド68mg/dL、HDLコレステロール 56mg/dL、LDLコレステロール 120 mg/dL。心電図に異常を認めない。
患者への説明で適切なのはどれか。
a 「家族性の Alzheimer 型認知症が疑われます。遺伝子検査を行いましょう」
b 「高血圧は Alzheimer 型認知症のリスクファクターです。対策を始めましょう」
c 「将来にわたって Alzheimer 型認知症の心配はありません。様子をみましょう」
d 「頭部MRIでAlzheimer 型認知症を診断することができます。予約しましょう」
e 「現時点で Alzheimer 型認知症の治療法はありません。気にしないことにしましょう」

28 82歳の男性。右季肋部痛を主訴に来院した。1か月前に自宅近くの病院で膵癌および多発肝転移と診断された。薬物による抗癌治療を希望せず、外来でアセトアミノフェンの処方をうけている。1週間前から右季肋部の痛みが増悪し、食欲が低下している。また大きな息をすることができず、呼吸困難を自覚している。意識は清明。身長162cm、体重52kg。体重減少はない。体温36.2℃。脈拍68/分、整。血圧112/58 mmHg。呼吸数16/分。SpO2 94% (room air)。腹部造影CTで肝転移の増大を認めた。
まず行うべきなのはどれか。
a 酸素投与
b 制吐薬投与
c 鎮静薬投与
d オピオイド投与
e 高カロリー輸液

29 21歳の女性。下腹痛を主訴に来院した。月経周期は28日型、整。月経困難症はない。月経周期7日目に突然、下腹痛を生じたため受診した。体温36.4℃。血圧 110/62 mmHg。内診で子宮は前傾前屈、正常大で可動性は良好、左付属器に径8cm の腫瘤を触知し、強い圧痛を認める。右付属器は触知せず、Douglas 窩は軟。血液所見:赤血球409万、Hb 12.1g/dL、白血球9,100、血小板33万。血液生化学所見:総蛋白6.3g/dL、AST 23 U/L、ALT 20 U/L、LD 175 U/L(基準 124~222)、CA19-9 56 U/mL(基準37以下)、CA125 40 U/mL(基準35以下)。緊急で腹腔鏡による観察を行ったところ左卵巣の腫大と540度の捻転を認めた。
適切な治療はどれか。
a 卵管切除術
b 卵巣開孔術
c 卵巣腫瘍摘出術
d 子宮筋腫核出術
e 両側付属器摘出術

30 30歳の女性。昨日からの鼻汁と咽頭痛を主訴に来院した。咳嗽および呼吸困難はない。食事は摂れている。生来健康。意識は清明。体温37.3℃。脈拍76/分、整。血圧116/70mmHg。呼吸数18/分。咽頭に軽度の発赤を認めるが白苔は認めない。心音と呼吸音とに異常を認めない。5歳の長男に4日前から同様の症状がある。
患者への説明で適切でないのはどれか。
a 「十分な栄養、水分を摂って休んでください」
b 「通常、症状は1週間程度でだんだん良くなっていきます」
c 「あとから肺炎になることがあるので抗菌薬を処方します」
d 「症状が悪くなっていく場合、もう一度受診してください」
e 「食事や水分が摂れなくなった場合、もう一度受診してください」

31 45歳の女性。左手の疼痛と腫脹を主訴に来院した。昨夜、飼い猫に左手関節付近をかまれた。今朝は創が小さく出血も止まっていたため出勤し、事務作業を行った。昼ごろから疼痛が増悪し、夕方になり疼痛と腫脹で手指が動かせなくなったため受診した。左手関節の伸側と屈側に径3~5mmの創を2か所認める。左手背は腫脹し、発赤を肘関節付近まで認める。左の手指は全体的に腫脹し、疼痛で伸展が困難であった。
実施すべきでない処置はどれか。
a 創の洗浄
b 創の縫合
c 抗菌薬の投与
d 左上肢の安静
e 破傷風トキソイドの投与

32 62歳の男性。心肺停止状態で救急搬入された。約1週間前から感冒様症状があり、自宅近くの診療所で治療をうけていた。午前8時ごろ散歩に出たところ、自宅前で意識消失した。一緒にいた家族が救急車を要請し、心肺蘇生を行っていた。救急隊の接触時には心室細動で、除細動を試みるも効果はなく、病院到着時も心室細動であった。救急外来で気管挿管を行い、カテーテル検査室に移動して、緊急で経皮的心肺補助〈PCPS〉により循環動態を維持した。心エコー検査では、左室壁はやや浮腫状で、ほぼ無収縮であった。冠動脈造影検査で冠動脈に有意狭窄を認めず、心筋生検を行い、ICUへ入室となった。血液所見:Hb 12.3g/dL、白血球 11,800、血小板32万。血液生化学所見:総ビリルビン 1.4 mg/dL、AST 1,254 U/L、ALT 281 U/L、LD 2,390U/L(基準124~222)、CK 29,099 U/L(基準59~248)、尿素窒素39mg/dL、クレアチニン 1.4mg/dL、Na 131 mEq/L、K 4.4 mEq/L。BNP 1,824 pg/mL(基準18.4以下)、心筋トロポニン T 3,240 ng/mL(基準0.01以下)。CRP 5.8 mg/dL。
最も考えられる疾患はどれか。
a 急性心筋炎
b 急性心膜炎
c 急性心筋梗塞
d 肥大型心筋症
e たこつぼ心筋症

33 72歳の男性。筋萎縮性側索硬化症〈ALS〉で療養中である。会話による意思疎通は可能である。呼吸機能が悪化し人工呼吸器の装着が必要な状況であるが、本人は家族に迷惑をかけることを危惧して装着を希望していない。妻は人工呼吸器を装着して欲しいと考えているが、子どもたちは熟慮の末、装着しなくてよいと考えている。
今後の対応で最も適切なのはどれか。
a 妻の意向を尊重する。
b 患者の意向を尊重する。
c 医療者の意向を尊重する。
d 子どもたちの意向を尊重する。
e 患者、妻、子どもたち、医療者で話し合いを行う。

34 84歳の女性。2日前から発熱し、意識障害のため救急車で搬入された。来院時の意識レベルはJCS II-10。体温38.9℃。心拍数128/分、整。血圧74/40 mmHg。呼吸数28/分。SpO2 96% (マスク6L/分 酸素投与下)。初期輸液とノルアドレナリンの投与を開始し、血液培養2セットを含む各種微生物検査を実施したのちに、広域スペクトル抗菌薬を投与して入院した。入院3日後、検査結果を確認した抗菌薬適正使用支援チーム[Antimicrobial Stewardship Team (AST)]の薬剤師から担当医に連絡が入り、抗菌薬の変更を提案された。
AST の薬剤師に対する回答で適切なのはどれか。
a 「無断で検査結果を確認するのはご遠慮ください」
b 「ASTで抗菌薬の処方を変更しておいてください」
c 「医師への提案はASTの医師からにしてください」
d 「これから診療チームで抗菌薬の変更を検討します」
e 「提案は明日の診療科カンファレンスの場でお願いします」

35 78歳の女性。発熱を主訴に来院した。3週間前から発熱が続いているため受診した。発熱以外に症状は認めない。6週間前に歯科治療を受けている。体温 38.5℃。脈拍72/分、整。血圧120/82mmHg。呼吸数18/分。SpO2 98% (room air)。眼瞼結膜に点状出血を認める。心尖部に心雑音を聴取する。呼吸音に異常を認めない。腹部は平坦、軟で、肝・脾を触知しない。両下腿に浮腫を認める。左示指に有痛性の結節を認める。髄膜刺激症候はない。尿所見: 蛋白(±)、糖(-)、潜血(-)、沈渣に赤血球1~2/HPF、白血球1~2/HPFを認める。血液所見:赤血球370万、Hb 11.0 g/dL、Ht 33%、白血球11,000、血小板16万。血液生化学所見:総蛋白6.2g/dL、アルブミン3.3g/dL、ALT 26 U/L、クレアチニン 0.6 mg/dL。CRP 5.8 mg/dL。
最も優先して行うべき培養検査はどれか。
a 尿
b 便
c 喀痰
d 血液
e 脳脊髄液

36 12歳の男児。胸郭の変形を主訴に来院した。学校で着替えの際に友人に胸の形について指摘され、本人が気にしている。自覚症状はない。意識は清明。身長158 cm、体重40kg。体温36.6℃。脈拍60/分、整。血圧122/76 mmHg。SpO2 96% (room air)。胸部エックス線写真(別冊No. 3A)と胸部単純CT(別冊No. 3B)とを別に示す。
身体所見としてみられるのはどれか。
a 胸郭の動揺
b 胸骨の陥凹
c 胸骨の突出
d 鎖骨の隆起
e 肋骨の外反

37 4歳の男児。幼稚園の昼食中にミニトマトを食べた直後、突然強い咳嗽を認めた。傍らにいた教諭が男児の肩を叩き大声で呼びかけるが返事はなく、苦しそうにもがいている。口唇のチアノーゼを認めた。他の教諭に救急要請とAEDを持ってくるように依頼をした。
教諭が次に行う対応で正しいのはどれか。
a 飲水を促す。
b 背部を叩打する。
c 胸骨圧迫を開始する。
d 口対口人工呼吸を開始する。
e 指で口腔内のミニトマトを除去する。

38 34歳の初妊婦(1妊0産)。妊娠27週0日、少量の性器出血と下腹部緊満感を主訴に産科診療所を受診した。1週間前に受診した妊婦健診では異常を指摘されなかった。体温37.2℃。膣鏡診では褐色、粘調性の分泌物を少量認めた。子宮口は2cm開大、展退度70%、頭位。経腹超音波検査で胎児発育および羊水量は正常であった。胎児心拍数陣痛図では、子宮収縮は5分ごとで、胎児心拍数の異常は認めない。血液所見:白血球10,000。CRP 0.3 mg/dL。
患者への説明で適切なのはどれか。
a 「今日中に生まれます」
b 「帝王切開を行います」
c 「子宮頸管をしばりましょう」
d 「赤ちゃんを管理できる病院にあなたを救急搬送します」
e 「今生まれても、正期産児と同程度の発達が期待できます」

39 85歳の女性。右眼の視力低下を主訴に来院した。右眼視力0.03(0.5× -6.5 D)であった。右眼の細隙灯顕微鏡写真(別冊No. 4)を別に示す。
この患者で異常をきたしている部位はどれか。
a 結膜
b 虹彩
c 水晶体
d 硝子体
e 視神経乳頭

40 28歳の男性。発熱、乾性咳嗽および倦怠感を主訴に来院した。2週間前から38℃前後の発熱・倦怠感が続いており、乾性咳嗽も認めるようになったため受診した。半年間で6kgの体重減少を認めている。来院時、意識は清明。身長172 cm、体重58kg。体温37.8℃。脈拍120/分、整。血圧118/60mmHg。呼吸数28/分。SpO2 90%(room air)。咽頭粘膜に白苔を認める。両側の背部でfine cracklesを聴取する。血液所見:赤血球340万、Hb 9.6g/dL、Ht 30%、白血球4,800、CD4陽性細胞数54/mm³(基準500~1,000)、血小板20万。血液生化学所見:AST 28 U/L、ALT 18 U/L、LD 256 U/L(基準124~222)、尿素窒素40 mg/dL、クレアチニン 1.0 mg/dL。HIV抗原・抗体陽性。血中HIV RNA定量検査も陽性であった。
この患者の入院診療録の問題指向型医療記録 〈POMR〉におけるSOAPの assessment 〈評価〉の記載に該当するのはどれか。
a 酸素投与
b HIV 感染症
c 保健所への届出
d 発熱、乾性咳嗽、倦怠感
e 両側背部の fine crackles

次の文を読み、41、42の問いに答えよ。
84歳の男性。呼吸困難を主訴に来院した。
現病歴: 昨日から呼吸困難があり、本日38.8℃の発熱もあり受診した。普段は平地を通常の速度で歩けるが、現在は室内の移動で呼吸困難がある。咳嗽も新たに出現し、喀痰は黄色である。
既往歴: 慢性閉塞性肺疾患 〈COPD〉を5年前に診断されて副腎皮質ステロイド/長時間作用性β2刺激薬/長時間作用性抗コリン薬の合剤を吸入し、高血圧症で降圧薬を内服している。
生活歴: 喫煙は20歳から60歳まで60本/日、以後は禁煙している。飲酒歴はない。元会社員。
現症: 意識は清明。身長168cm、体重60kg。体温38.8℃。脈拍132/分、整。血圧146/78mmHg。呼吸数28/分。SpO2 86%(room air)。眼瞼結膜と眼球結膜とに異常を認めない。咽頭に発赤や白苔を認めない。心音に異常を認めない。呼吸音は両側 wheezes があり、呼気が延長している。腹部は平坦、軟で、肝・脾を触知しない。四肢は浮腫を認めない。頸部の写真(別冊No. 5A)と模式図(別冊No. 5B)を別に示す。

41 頸部に認める所見はどれか。
a 気管短縮
b 甲状腺腫
c 正中頸嚢胞
d 頸部蜂窩織炎
e リンパ節腫大

42 次に検査所見を示す。
血液所見:赤血球436万、Hb 13.0 g/dL、Ht 39%、白血球16,460(好中球89%、好酸球0%、好塩基球0%、単球6%、リンパ球5%)、血小板33万、PT-INR 1.0(基準0.9~1.1)、Dダイマー0.5 µg/mL(基準1.0以下)。血液生化学所見:総蛋白5.7g/dL、アルブミン3.3g/dL、総ビリルビン 2.1mg/dL、直接ビリルビン 0.6mg/dL、AST 27 U/L、ALT 16 U/L、LD 219 U/L(基準124~222)、ALP 112 U/L(基準38~113)、γ-GT 22U/L(基準13~64)、CK 39 U/L(基準59~248)、尿素窒素28mg/dL、クレアチニン 0.6mg/dL、尿酸6.9 mg/dL、血糖177mg/dL、HbA1c 5.6%(基準4.9~6.0)、Na 138 mEq/L、K3.7 mEq/L、Cl 100 mEq/L。CRP 10.1 mg/dL。動脈血ガス分析 (room air): pH 7.45、PaCO2 38 Torr、PaO2 54 Torr、HCO3- 24 mEq/L。心電図は洞性頻脈でST-T変化を認めない。胸部エックス線写真(別冊No. 6)を別に示す。
入院することとなり、SpO2 92%以上となるように酸素投与が開始された。血液培養2セットと喀痰培養検体を提出した。
現時点の治療で適切でないのはどれか。
a 輸液
b 抗菌薬投与
c 気管支拡張薬吸入
d ヘパリン持続点滴
e グルココルチコイド全身投与

次の文を読み、43、44の問いに答えよ。
15歳の男子。顔面の痛みを主訴に救急車で搬入された。
現病歴: 野球の試合中に打球が左眼周囲に当たり、顔面の痛みを訴えた。受傷時の意識消失はなく、受傷前後の記憶障害もない。
既往歴: 特記すべきことはない。
生活歴: 特記すべきことはない。
家族歴: 父親に高血圧症。
現症: 意識は清明。身長166cm、体重45kg。体温36.8℃。心拍数96/分、整。血圧102/60mmHg。呼吸数20/分。SpO2 98%(room air)。眼位は正中で瞳孔不同もないが複視を認める。左眼の眼球運動で上転障害を認めた。眼周囲に擦過傷を認めるが明らかな活動性の出血を認めない。鼻の変形と鼻出血は認めない。開口障害と咬合異常は認めない。左眼周囲の感覚の低下を認めるが、その他の神経学的所見に異常は認めない。心音と呼吸音とに異常を認めない。腹部は平坦、軟で、肝・脾を触知しない。明らかな四肢麻痺を認めない。
検査所見: 血液所見:赤血球460万、Hb 14.6 g/dL、Ht 42%、白血球6,800、血小板28万。血液生化学所見:総蛋白6.0g/dL、アルブミン3.4g/dL、総ビリルビン0.5mg/dL、AST 21 U/L、ALT 11 U/L、LD 225 U/L (基準124~222)、CK 120 U/L(基準59~248)、尿素窒素 10 mg/dL、クレアチニン 1.0mg/dL、尿酸 6.3 mg/dL、血糖 98 mg/dL、Na 138 mEq/L、K4.4mEq/L、Cl 106 mEq/L。CRP 0.9 mg/dL。

43 この時点で最も考えられる診断はどれか。
a 脳震盪
b 下顎骨折
c 脊髄損傷
d 鼻骨骨折
e 眼窩底骨折

44 この患者の入院が決定し、救急外来から病棟へ入室した。担当研修医が患者のネームバンドを確認したところ名前が異なっていた。状況を指導医に報告しネームバンドを正しいものに変更した。
次にとるべき対応はどれか。
a 保健所に報告する。
b 特に対応は必要ない。
c 医療事故調査を依頼する。
d インシデントレポートを提出する。
e ソーシャル・メディアに投稿する。

次の文を読み、45、46の問いに答えよ。
60歳の男性。肺癌で2週間後に右上葉切除術を予定されており、術前診察のために来院した。
現病歴: 会社の定期健診で胸部エックス線写真の異常陰影を指摘され、精査の結果、手術予定となった。
既往歴: 40歳時に①胆嚢摘出術を受けた。子供のころ、②キウイを食べて膨疹がでたので、それ以来、食べないようにしている。③インフルエンザワクチンを1か月前に接種した。
生活歴: 喫煙は20本/日を40年間。会社の宴会などで飲酒の機会はあるが、自宅では週末に日本酒1合程度の晩酌のみ。自宅から駅まで15分程度、毎日歩いている。週末は散歩と軽い運動をしている。④趣味で熱帯魚を飼っている。外食などがなければ、午後10時には就寝し、午前6時に起床する。食事に好き嫌いはなく、間食もあまりしない。手術前で緊張のためか⑤ここ数日、食欲がない。
家族歴: 母親は90歳で健在。大腸癌の手術歴がある。
現症: 意識は清明。身長166cm、体重58kg。体温36.6℃。脈拍80/分、整。血圧140/80 mmHg。呼吸数20/分。SpO2 98%(room air)。皮膚は湿潤。眼瞼結膜と眼球結膜とに異常を認めない。開口は2横指。口腔内は湿潤。咽頭に異常を認めない。頸静脈の怒張を認めない。甲状腺と頸部リンパ節を触知しない。心音と呼吸音とに異常を認めない。腹部は平坦、軟で、手術痕を認める。肝・脾を触知しない。腸雑音を聴取する。下肢に浮腫を認めない。神経診察で異常を認めない。
検査所見: 血液所見:赤血球468万、Hb 13.9 g/dL、Ht 42%、白血球7,300、血小板21万、PT-INR 1.0(基準0.9~1.1)。血液生化学所見:総蛋白7.6g/dL、アルブミン 4.0 g/dL、AST 30 U/L、ALT 20 U/L、尿素窒素12mg/dL、クレアチニン 0.6mg/dL、血糖98 mg/dL、HbA1c 6.0%(基準4.9~6.0)、総コレステロール 204 mg/dL、HDLコレステロール50mg/dL、LDLコレステロール 115 mg/dL、Na 131 mEq/L、K4.4 mEq/L、Cl 97 mEq/L、Ca 9 mg/dL。

45 下線部のうち、この患者の手術で医療従事者が最も留意すべき情報はどれか。
a ①
b ②
c ③
d ④
e ⑤

46 周術期合併症を減らす上で、改善すべき生活習慣はどれか。
a 飲酒
b 運動
c 喫煙
d 食生活
e 睡眠時間

次の文を読み、47、48の問いに答えよ。
64歳の男性。腹部膨満を主訴に来院した。
現病歴: 1か月前から腹部膨満が出現した。2週間前からズボンのベルトがきつくなるのを自覚し、症状が徐々に増悪するため受診した。排便回数は1回/日、普通便で、特に変化を認めない。
既往歴: 40歳時から高血圧症のため内服治療中。食物や薬物のアレルギー歴はない。
生活歴: 食品会社の事務職。喫煙は10本/日を10年間。飲酒は日本酒1合/日を30年間。妻と2人暮らし。3か月前から猫を飼っている。6か月前に東南アジアに出張した。
家族歴: 父が70歳時に大腸癌のため手術。
現症: 意識は清明。身長164cm、体重64kg。体温36.8℃。脈拍72/分、整。血圧136/78 mmHg。呼吸数12/分。SpO2 97%(room air)。眼瞼結膜と眼球結膜とに異常を認めない。頸静脈の怒張を認めない。甲状腺と頸部リンパ節を触知しない。心音と呼吸音とに異常を認めない。腹部は膨隆。腸雑音はやや亢進。血管雑音を聴取しない。圧痛はなく、筋性防御を認めない。明らかな腫瘤を認めない。波動を認める。Traube 三角の打診は鼓音である。体位変換によりshifting dullnessを認める。肋骨脊柱角の叩打痛を認めない。四肢に浮腫を認めない。
検査所見: 尿所見:蛋白(-)、糖(-)、潜血(-)。血液所見:赤血球436万、Hb 13.7 g/dL、Ht 41%、白血球5,400、血小板18万、PT-INR 1.0(基準0.9~1.1)。血液生化学所見:総蛋白7.6g/dL、アルブミン3.8g/dL、総ビリルビン 1.8 mg/dL、直接ビリルビン 0.9mg/dL、AST 42 U/L、ALT 46 U/L、LD 256 U/L(基準124~222)、ALP 126U/L(基準38~113)、γ-GT 108 U/L(基準13~64)、アミラーゼ94U/L (基準44~132)、尿素窒素18mg/dL、クレアチニン 0.9 mg/dL、尿酸6.9mg/dL、血糖102mg/dL、HbA1c 6.0%(基準4.9~6.0)、総コレステロール 180 mg/dL、トリグリセリド108 mg/dL、Na 131 mEq/L、K 4.4 mEq/L、Cl 97 mEq/L。CRP 1.0 mg/dL。

47 身体診察から予想されるのはどれか。
a 脾腫
b 腹水
c 腹膜炎
d イレウス
e 尿路結石

48 次に行う検査はどれか。
a 腹部造影CT
b 腹部超音波検査
c 上部消化管内視鏡検査
d 下部消化管内視鏡検査
e 磁気共鳴胆管膵管撮影〈MRCP〉

次の文を読み、49、50の問いに答えよ。
50歳の女性。腹痛と発熱とを主訴に来院した。
現病歴: 昨夜、①夕食後しばらくしてから右上腹部に痛みを感じ、悪寒戦慄を伴う発熱が出現した。市販のアセトアミノフェンを服用したが改善せず、②朝になっても痛みと発熱が続くため受診した。③右肩への痛みの広がりは認めない。
既往歴: 40歳時に胆石症と指摘されていたが、④胆石発作歴はない。⑤インフルエンザワクチンは毎年接種しており、新型コロナウイルスワクチンの最終接種は1年前である。
生活歴: 夫と2人暮らし。専業主婦。喫煙歴はない。飲酒は機会飲酒。
家族歴: 特記すべきことはない。
現症: 意識は清明。身長162cm、体重58kg。体温37.2℃。脈拍72/分、整。血圧120/64 mmHg。呼吸数12/分。SpO2 98% (room air)。眼瞼結膜に貧血を認めない。眼球結膜に軽度黄染を認める。心音と呼吸音とに異常を認めない。腹部は平坦、右上腹部に圧痛を認める。四肢に異常を認めない。
検査所見: 血液所見:赤血球410万、Hb 12.8 g/dL、Ht 39%、白血球15,200、血小板21万。血液生化学所見:総蛋白6.5g/dL、アルブミン 3.2g/dL、総ビリルビン 3.2 mg/dL、AST 98 U/L、ALT 120 U/L、LD 180 U/L(基準124~222)、ALP 360 U/L(基準38~113)、γ-GT 240 U/L (基準9~32)、尿素窒素14 mg/dL、クレアチニン 0.7 mg/dL、Na 135 mEq/L、K 3.4mEq/L、Cl 101 mEq/L。CRP 7.8 mg/dL。

49 下線部のうち、この患者の診断に直接寄与しない医療面接項目はどれか。
a ①
b ②
c ③
d ④
e ⑤

50 この患者の今後の方針を担当医が判断するために最も適切な情報源はどれか。
a 診療ガイドライン
b 他の患者の体験記
c 研究会での症例報告
d 最新の単施設研究の論文
e 医師が発信するソーシャル・メディア
