第117回 医師国家試験 B問題

1 インシデントレポートで正しいのはどれか。
家系図で適切なのはどれか。
a ①
b ②
c ③
d ④
e ⑤

34 ある病棟で研修医Aが担当患者数名の採血のために、1つのトレイで全員分の採血管を運び採血を行った。しかし、指導医がそのうち2名の患者の検査結果がそれぞれの病状経過に沿わないことに気付き、研修医Aに再検査(2回目の採血)を指示した。結果として、研修医Aが1回目の採血の際に2名の患者の採血管を取り違えたことが明らかとなった。
研修医Aが次に行う対応として適切なのはどれか。
a 所轄の警察署に届け出る。
b 検査結果の削除依頼をする。
c 2名の患者に3回目の採血を行う。
d 院外の事故調査委員会に調査を依頼する。
e 医療安全部門にインシデントレポートを提出する。

35 60歳の男性。右上肢筋力低下を主訴に来院した。徒手筋力テストで、前腕回外位で右肘屈曲させたところ、重力に抗して全可動域の運動が可能であったが、軽い抵抗が加わると不可能であった。
右肘屈曲(上腕二頭筋)の徒手筋力テストの評価はどれか。
a 1
b 2
c 3
d 4
e 5

36 36歳の男性。全身けいれんのため救急車で搬入された。来院時にはけいれんは消失していた。15歳からてんかんの既往があり、抗けいれん薬を処方されていたが、2か月前から服薬を自己中断していた。意識レベルはJCS II-10。心拍数98/分、整。血圧140/90mmHg。呼吸数18/分。SpO2 98%(リザーバー付マスク10L/分 酸素投与下)。静脈路を確保して、頭部CTを撮影する準備をしていたところ、全身けいれんを起こした。
この患者に直ちに静注すべき薬剤はどれか。
a モルヒネ
b ジアゼパム
c フロセミド
d アドレナリン
e グルコン酸カルシウム

37 18歳の女子。呼吸困難を主訴に救急外来を受診した。通学途中に満員のバスの中で急に息苦しく、呼吸が促迫になった。パニック障害で自宅近くの診療所に通院しているが、それ以外の基礎疾患はない。意識は清明。体温36.8℃。脈拍104/分、整。血圧112/72 mmHg。呼吸数48/分。SpO2 100%(room air)。頸静脈の怒張を認めない。心音と呼吸音とに異常を認めない。腹部は平坦、軟で、圧痛を認めない。四肢にチアノーゼを認めない。患者は「息ができない。手の指先と口の周囲が痺れる」と言っている。
この患者に救急外来で行う対応として正しいのはどれか。
a 抗精神病薬を内服させる。
b そのまま学校に行かせる。
c 低流量酸素を吸入させる。
d 紙袋を口につけて呼吸させる。
e ゆっくり呼吸するように指導する。

38 67歳の男性。腹部膨満感、右季肋部痛およびふらつきを主訴に来院した。半年以上前から右季肋部痛を自覚していたが、3か月前から痛みが増強するとともに腹部膨満感が出現、1か月前から黒色の軟便が見られるようになり、2週間前からふらつきが強まった。ここ3か月で体重が5kg減少している。意識は清明だが、問診の意味が把握しにくいようで、聴覚障害と軽度の知的障害が疑われる。身長154cm、体重53kg。体温35.9℃。脈拍84/分、整。血圧112/72 mmHg。呼吸数13/分。眼瞼結膜は蒼白で眼球結膜に軽度黄染を認める。腹部は膨満しており、波動を認める。両下腿に強い浮腫を認める。一人暮らしで身寄りがなく、生活保護を受けている。民生委員が同伴で受診しており、問診の際も民生委員を介して聞き取りを行ったが、生活状況などについて十分な情報が聴取できない。
まず取るべき対応で正しいのはどれか。
a 医師が患者に代わって診療方針を決定する。
b 診療方針について患者本人に説明し意向を聞く。
c 民生委員を成年後見人とみなして診療方針について相談する。
d 患者本人の意思決定困難を理由にこれ以上の検査治療を行わない。
e 医学的検査の結果に基づき、客観的に治療の適否や内容を決定する。

39 75歳の男性。複視と眼瞼下垂を主訴に来院した。昨夜、入眠中に突然出現した激しい頭痛のために覚醒し、頭痛は1時間持続した。今朝になって複視と右眼の開眼困難に気付いた。これまでに慢性的な頭痛の既往はない。意識は清明。身長172cm、体重61kg。体温36.4℃。脈拍72/分、整。血圧128/80 mmHg。呼吸数12/分。SpO2 96%(room air)。右瞳孔の散大と対光反射消失とを認める。眼(別冊No. 4A)と眼球運動の様子(別冊No. 4B)とを別に示す。他の身体診察に異常を認めない。
最も考えられる診断はどれか。
a 片頭痛
b Bell 麻痺
c 脳動脈瘤
d 重症筋無力症
e Horner 症候群

40 70歳の男性。肺炎で入院加療を受けている。肺炎が治癒したため、自宅に退院予定であった。担当医が早朝に診察するために病室に入ったところ、点滴チューブの結合部が外れ、床面に逆流した血液が溜まっているのを発見した。患者の状態を確認したところ、既に患者の下顎に死後硬直を認め、死亡確認を行った。
この状況で次に行うべき適切な対応はどれか。
a 清掃の指示
b 異状死の届出
c 保健所へ連絡
d 病理解剖の依頼
e 死亡診断書の記載

次の文を読み、41、42の問いに答えよ。
28歳の男性。腹痛を主訴に来院した。
現病歴: 昨日から臍部を中心とした腹痛が出現し、その後、悪心、食欲不振を伴うようになった。今朝になって痛みが右下腹部に移動し、悪化したため受診した。
既往歴: 5歳時に右鼠径ヘルニアで手術。
生活歴: 妻、子ども(3歳)と同居。公務員。喫煙歴と飲酒歴はない。
家族歴: 父が58歳時に脳梗塞を発症。
現症: 意識は清明。身長176cm、体重68kg。体温37.0℃。脈拍88/分、整。血圧128/76 mmHg。呼吸数18/分。SpO2 97%(room air)。眼瞼結膜と眼球結膜とに異常を認めない。心音と呼吸音とに異常を認めない。腹部は平坦で、右下腹部に圧痛を認めるが反跳痛は認めない。四肢に異常を認めない。
検査所見: 血液所見:赤血球360万、Hb 12.1 g/dL、Ht 38%、白血球10,200(好中球85%、好酸球1%、好塩基球1%、単球2%、リンパ球11%)、血小板28万。血液生化学所見:AST 16 U/L、ALT 18 U/L、LD 178 U/L(基準120~245)、ALP 106 U/L(基準38~113)、尿素窒素12mg/dL、クレアチニン 0.6mg/dL、Na 142 mEq/L、K 4.2mEq/L、Cl 102 mEq/L。CRP 2.6 mg/dL。
急性虫垂炎の診断スコアを表1に、その診断スコア合計点別の尤度比を表2に示す。
表1 急性虫垂炎の診断スコア
項目 / スコア
腹痛部位の移動 / 1
食欲不振 / 1
悪心、嘔吐 / 1
右下腹部の圧痛 / 2
反跳痛 / 1
発熱(体温≧37.3℃) / 1
末梢血白血球数≧10,000 / 2
好中球≧75% / 1

表2 診断スコア合計点別の尤度比
スコア合計 / 陽性尤度比
0~4点 / 1.0
5~6点 / 1.6
7点以上 / 3.0

41 若年男性の急性の腹痛における急性虫垂炎の有病率が50%である場合、この患者における急性虫垂炎の確率はどれか。
a 41%
b 50%
c 62%
d 75%
e 90%

42 指導医から抗菌薬を点滴投与するよう指示があり、研修医が末梢静脈路の確保を行ったが、患者に刺した留置針を誤って自分の指に刺してしまった。流水で十分に洗い流した。これまで当該患者のこの医療機関への受診歴はない。
この研修医に対して行う血液検査の項目として誤っているのはどれか。
a HA抗体
b HBs抗原
c HBs抗体
d HCV抗体
e HIV抗原・抗体

次の文を読み、43、44の問いに答えよ。
38歳の男性。食欲不振、腰痛および背部痛を主訴に来院した。
現病歴: 半年前から胸やけと食欲不振、腰痛を自覚していた。2か月前から背部痛と呼吸困難が出現し、自宅近くの診療所を受診した。上部消化管内視鏡検査で胃体部に進行胃癌を認め、精査と治療のため入院となった。腰痛はみられるが、ADLは自立し歩行可能である。
既往歴: 特記すべきことはない。
生活歴: 妻と小学生の娘2人と4人暮らし。職業は会社員、営業職で外回りの仕事が多い。喫煙は20歳から20本/日だが、2週間前から禁煙している。飲酒は機会飲酒。
家族歴: 特記すべきことはない。
現症: 意識は清明。身長176cm、体重63kg。体温36.4℃。脈拍92/分、整。血圧120/64 mmHg。呼吸数18/分。SpO2 97% (room air)。眼瞼結膜と眼球結膜とに異常を認めない。心音と呼吸音とに異常を認めない。腹部は平坦、軟で、肝・脾を触知しない。
検査所見: 血液所見:赤血球390万、Hb 9.1 g/dL、Ht 39%、白血球6,300、血小板26万。血液生化学所見:総蛋白5.0g/dL、アルブミン3.0g/dL、総ビリルビン0.8mg/dL、AST 16 U/L、ALT 18 U/L、LD 184 U/L(基準120~245)、ALP 200 U/L(基準38~113)、クレアチニン1.0mg/dL、Na 141 mEq/L、K 4.0 mEq/L、Cl 101 mEq/L、Ca 8.5mg/dL。胸部エックス線写真で両肺に散在する腫瘤を認めた。腹部CT及び腰椎MRIで第1腰椎と第3腰椎に転移性骨腫瘍を認めた。肝転移は認めなかった。
患者には病状が詳しく伝えられ、今後抗癌化学療法、放射線治療が計画された。患者から、「会社に迷惑をかけるので、仕事をやめようか悩んでいる。治療費もたくさんかかるし、小学生の娘2人を今後どうやって養っていったらよいかを考えると心配でしょうがない」と相談があった。

43 この患者への対応で誤っているのはどれか。
a 患者の病状理解を確認する。
b 職場への伝え方を助言する。
c 不安を軽減させるための支援を行う。
d 退職して治療に専念するよう伝える。
e 利用可能な支援制度の情報提供を行う。

44 患者は抗癌化学療法、腰椎の転移性骨腫瘍に対する放射線治療を受け、1か月後に自宅退院し、職場復帰した。今後、外来で抗癌化学療法を継続する予定である。
この患者が利用できる制度はどれか。
a 介護保険
b 障害年金
c 高額療養費制度
d 自立支援医療制度
e 指定難病医療費助成制度

次の文を読み、45、46の問いに答えよ。
59歳の男性。倦怠感、悪心、嘔吐および発熱を主訴に来院した。
現病歴: 昨日から倦怠感を自覚していたが、本日、悪心、嘔吐および悪寒戦慄を伴う発熱が出現し、体動困難となったため救急外来を受診した。
既往歴: 糖尿病でSGLT2阻害薬を内服している。高血圧と脂質異常症で食事療法を行っている。
生活歴: 妻と2人暮らし。喫煙歴はない。飲酒は機会飲酒。
家族歴: 父が糖尿病。母が大腸癌。
現症: 意識は清明。身長165cm、体重70kg。体温38.5℃。脈拍92/分、整。血圧120/86 mmHg。呼吸数20/分。SpO2 98%(room air)。眼瞼結膜と眼球結膜とに異常を認めない。甲状腺腫と頸部リンパ節とを触知しない。心音と呼吸音とに異常を認めない。腹部はやや膨満しており腸蠕動音は低下しているが、圧痛や腫瘤は認めない。肝・脾を触知しない。肋骨脊柱角叩打痛は両側とも認めない。
検査所見: 尿所見:蛋白(-)、糖2+、潜血(-)、①沈渣に白血球を認めない。血液所見:赤血球522万、Hb 16.2 g/dL、Ht 47%、白血球19,600(桿状核好中球3%、分葉核好中球79%、単球6%、リンパ球12%)、血小板17万、PT-INR 1.09(基準0.9~1.1)。血液生化学所見:総蛋白6.9g/dL、アルブミン4.1 g/dL、②総ビリルビン1.8mg/dL、直接ビリルビン1.0mg/dL、AST 23 U/L、ALT 33 U/L、LD 178 U/L (基準120~245)、ALP 103 U/L(基準38~113)、γ-GT 85U/L(基準8~50)、アミラーゼ45U/L(基準37~160)、CK 144 U/L(基準30~140)、尿素窒素20mg/dL、クレアチニン 0.87mg/dL、③eGFR 70.1 mL/分/1.73m²、④尿酸6.0mg/dL、血糖189mg/dL、HbA1c 7.5%(基準4.6~6.2)、⑤ Na 136mEq/L、K4.4mEq/L、Cl 98mEq/L。CRP 11.4 mg/dL。

45 症状の原因を検索するために画像検査が必要と考えた。
下線部のうち、造影CT撮影実施の可否を判断する上で最も重要な情報はどれか。
a ①
b ②
c ③
d ④
e ⑤

46 救急外来で撮影した腹部造影CT(別冊No. 5) を別に示す。患者は入院し、抗菌薬治療が開始された。入院翌日、救急外来で採取した血液培養2セットから Gram陰性桿菌が検出された。
追加すべき治療として適切なのはどれか。
a 肝庇護薬の全身投与
b 肝内病変のラジオ波焼灼
c 肝内病変の穿刺ドレナージ
d 副腎皮質ステロイドの全身投与
e 肝内病変の内視鏡的経鼻胆管ドレナージ

次の文を読み、47、48の問いに答えよ。
39歳の女性。動悸と息切れを主訴に来院した。
現病歴: 半年前から月経量が増え、3か月前から階段昇降時に動悸と息切れを自覚するようになったため受診した。
既往歴: 特記すべきことはない。
生活歴: 会社員。一人暮らし。喫煙歴はない。飲酒は機会飲酒。
家族歴: 特記すべきことはない。
月経歴: 初経13歳。周期28日型、持続10日間。
現症: 意識は清明。身長154cm、体重57kg。体温36.4℃。脈拍96/分、整。血圧126/80 mmHg。呼吸数18/分。SpO2 98%(room air)。眼瞼結膜は貧血様である。甲状腺腫と頸部リンパ節とを触知しない。心音と呼吸音とに異常を認めない。肝・脾を触知しない。下腹部は軽度膨隆している。内診で、径10cmの腫瘤を触知する。神経診察で異常を認めない。
ある論文に掲載されている眼瞼結膜所見別の貧血患者数の表を示す。
眼瞼結膜: 貧血様 / 貧血あり(50名): 24名 / 貧血なし(240名): 50名
眼瞼結膜: 正常 / 貧血あり(50名): 26名 / 貧血なし(240名): 190名

47 眼瞼結膜の身体所見から貧血を診断する場合、この患者の貧血診断における尤度比を求めよ。
a 0.2
b 0.7
c 1.0
d 2.3
e 4.3

48 血液検査を行ったところ、以下の結果が得られた。
血液所見:赤血球371万、Hb 8.5 g/dL、Ht 29%、白血球4,100、血小板29万。血液生化学所見:総蛋白6.9g/dL、アルブミン4.5g/dL、総ビリルビン 0.9mg/dL、AST 32 U/L、ALT 32 U/L、LD 173 U/L(基準120~245)、ALP 106 U/L(基準38~113)、尿素窒素 11 mg/dL、クレアチニン 0.8mg/dL、血糖 93 mg/dL、総コレステロール 189 mg/dL、Na 139 mEq/L、K4.0 mEq/L、Cl 102 mEq/L。CRP 0.7 mg/dL。
この患者で認めるのはどれか。
a 血清鉄高値
b 網赤血球数低値
c 血清フェリチン低値
d 血清不飽和鉄結合能低値
e トランスフェリン飽和度高値

次の文を読み、49、50の問いに答えよ。
65歳の女性。呼吸困難を主訴に来院した。
現病歴: 1時間前、自転車で走行中に転倒した。左胸部を強打し、直後から呼吸困難、胸痛および血痰が出現した。当初、痰にわずかに血が混じる程度であったが、徐々に出血の量と回数が増加し呼吸困難も増悪したため、救急外来を受診した。
既往歴: 特記すべきことはない。
生活歴: 喫煙歴はない。飲酒は機会飲酒。
家族歴: 母が高血圧症。
現症: 意識は清明。身長159cm、体重70kg。体温37.2℃。脈拍104/分、整。血圧96/60mmHg。呼吸数22/分。SpO2 94%(room air)。皮膚は左側胸部に10×5cmの出血斑を認める。眼瞼結膜は貧血様である。左側胸部に圧痛を認める。心音に異常を認めない。呼吸音は左上前胸部で減弱している。腹部は平坦、軟で、肝・脾を触知しない。四肢に異常を認めない。胸部エックス線写真で左肺の虚脱と左胸腔に胸水の貯留を認めた。

49 次に行う検査として正しいのはどれか。
a 胸部CT
b 胸部 MRI
c FDG-PET
d 肺動脈造影検査
e 肺血流シンチグラフィ

50 血液検査を行ったところ、以下の結果が得られた。
血液所見:赤血球321万、Hb 9.0 g/dL、Ht 28%、白血球10,300、血小板12万、Dダイマー0.2µg/mL(基準1.0以下)。血液生化学所見:総蛋白5.7g/dL、アルブミン2.9g/dL、総ビリルビン0.6mg/dL、直接ビリルビン 0.2mg/dL、AST 20 U/L、ALT 25 U/L、LD 185 U/L (基準120~245)、ALP 110 U/L(基準38~113)、尿素窒素11mg/dL、クレアチニン 0.4mg/dL、尿酸 6.5 mg/dL、血糖85 mg/dL、HbA1c 5.0%(基準4.6~6.2)、総コレステロール 210 mg/dL、トリグリセリド 110 mg/dL、Na 140 mEq/L、K4.0 mEq/L、Cl 101 mEq/L。
治療のためベッド上安静が必要であると判断された。
肺塞栓症予防のため有用なのはどれか。
a 酸素投与
b 抗菌薬投与
c 血栓溶解薬投与
d 気管支拡張薬吸入
e 弾性ストッキング着用
